Timestamp,Electricity Demand [kW],Heat Demand [kW],PV Generation [kW],Electricity Price [EUR/kWh],Temperature [°C]
2020-01-01 00:00:00+00:00,2.1,17.0,0.0,0.028,-0.5
2020-01-01 01:00:00+00:00,2.1,16.4,0.0,0.028,-0.4
2020-01-01 02:00:00+00:00,2.1,16.0,0.0,0.028,-0.3
2020-01-01 03:00:00+00:00,2.1,15.8,0.0,0.028,-0.3
2020-01-01 04:00:00+00:00,2.1,15.6,0.0,0.027,-0.2
2020-01-01 05:00:00+00:00,6.1,15.6,0.0,0.026,-0.2
2020-01-01 06:00:00+00:00,6.7,27.8,0.0,0.025,0.2
2020-01-01 07:00:00+00:00,6.7,29.2,0.0,0.026,0.9
2020-01-01 08:00:00+00:00,6.6,28.4,0.0,0.026,1.3
2020-01-01 09:00:00+00:00,6.6,28.0,0.2,0.027,1.8
2020-01-01 10:00:00+00:00,6.6,26.0,0.5,0.027,1.9
2020-01-01 11:00:00+00:00,6.7,27.0,0.3,0.028,2.3
2020-01-01 12:00:00+00:00,6.7,25.4,0.3,0.029,2.8
2020-01-01 13:00:00+00:00,6.7,26.0,0.0,0.029,2.7
2020-01-01 14:00:00+00:00,6.8,26.2,0.0,0.03,2.7
2020-01-01 15:00:00+00:00,6.8,27.8,0.0,0.03,2.6
2020-01-01 16:00:00+00:00,6.8,26.4,0.0,0.03,2.3
2020-01-01 17:00:00+00:00,6.7,27.8,0.0,0.03,2.0
2020-01-01 18:00:00+00:00,4.5,27.4,0.0,0.029,2.0
2020-01-01 19:00:00+00:00,1.9,22.0,0.0,0.028,2.0
2020-01-01 20:00:00+00:00,1.9,12.4,0.0,0.027,2.2
2020-01-01 21:00:00+00:00,1.9,13.8,0.0,0.026,2.3
2020-01-01 22:00:00+00:00,2.1,12.0,0.0,0.025,2.3
2020-01-01 23:00:00+00:00,2.1,15.0,0.0,0.012,2.3
2020-01-02 00:00:00+00:00,2.1,14.4,0.0,0.013,2.5
2020-01-02 01:00:00+00:00,2.1,14.8,0.0,0.019,2.4
2020-01-02 02:00:00+00:00,2.1,14.8,0.0,0.021,2.4
2020-01-02 03:00:00+00:00,2.1,14.6,0.0,0.024,2.4
2020-01-02 04:00:00+00:00,2.2,14.4,0.0,0.026,2.3
2020-01-02 05:00:00+00:00,6.1,14.0,0.0,0.028,2.3
2020-01-02 06:00:00+00:00,7.1,25.2,0.0,0.028,2.4
2020-01-02 07:00:00+00:00,7.4,27.2,0.0,0.029,2.5
2020-01-02 08:00:00+00:00,7.6,27.4,0.0,0.03,2.6
2020-01-02 09:00:00+00:00,7.8,26.4,0.3,0.03,3.0
